episode_index,length_frames,length_seconds
832,1458,48.6
833,1546,51.533
834,1558,51.933
835,1660,55.333
836,1573,52.433
837,1945,64.833
838,1682,56.067
839,1804,60.133
840,1452,48.4
841,1534,51.133
842,1586,52.867
843,1489,49.633
844,1658,55.267
845,1460,48.667
846,1887,62.9
847,1671,55.7
848,1636,54.533
849,1624,54.133
850,1377,45.9
851,1624,54.133
852,1594,53.133
853,1608,53.6
854,1672,55.733
855,1820,60.667
856,1560,52.0
857,1879,62.633
858,1892,63.067
859,1506,50.2
860,1722,57.4
861,1668,55.6
862,1677,55.9
863,1575,52.5
864,1928,64.267
865,1533,51.1
866,1774,59.133
867,1703,56.767
868,1806,60.2
869,1772,59.067
870,1608,53.6
871,1792,59.733
872,1945,64.833
873,1665,55.5
874,1612,53.733
875,1696,56.533
876,1671,55.7
877,1600,53.333
878,2018,67.267
879,1919,63.967
880,3072,102.4
881,1738,57.933
882,1589,52.967
883,1674,55.8
884,1863,62.1
885,2162,72.067
886,1946,64.867
887,1738,57.933
888,1584,52.8
889,1371,45.7
890,1575,52.5
891,1735,57.833
892,1852,61.733
893,1485,49.5
894,1870,62.333
895,1701,56.7
896,1447,48.233
897,1914,63.8
898,1856,61.867
899,1518,50.6
900,1426,47.533
901,1553,51.767
902,1511,50.367
903,2085,69.5
904,1674,55.8
905,1492,49.733
906,1652,55.067
907,1562,52.067
908,1647,54.9
909,1975,65.833
910,1650,55.0
911,1581,52.7
912,1540,51.333
913,2150,71.667
914,1516,50.533
915,1873,62.433
916,1614,53.8
917,1620,54.0
918,1788,59.6
919,1824,60.8
920,1943,64.767
921,1729,57.633
922,2003,66.767
923,2101,70.033
924,1818,60.6
925,1364,45.467
926,1704,56.8
927,2202,73.4
928,1954,65.133
929,1992,66.4
930,2541,84.7
931,1425,47.5
932,1639,54.633
933,1671,55.7
934,1784,59.467
935,1540,51.333
936,1455,48.5
937,1373,45.767
938,1610,53.667
939,1556,51.867
940,1655,55.167
941,1545,51.5
942,1593,53.1
943,1800,60.0
944,1643,54.767
945,1753,58.433
946,1556,51.867
